step,sim_time,avg_wait_time,queue_length,pressure,throughput,avg_speed,action,reward
0,15.0,0.00875,0.1,4,0,0.26107294319251845,1,-0.23
1,18.0,0.02375,0.15,4,0,0.5033801592440494,1,-0.29500000000000004
2,33.0,0.031538461538461536,0.1,8,6,0.4266917684027739,0,-0.13
3,36.0,0.014545454545454545,0.125,7,1,0.5685846622259262,0,-0.3875
4,51.0,0.05470588235294118,0.225,12,5,0.38770076529766634,0,-0.4675000000000001
5,66.0,0.1394736842105263,0.375,18,9,0.28146088202236824,0,-0.6125
6,69.0,0.14411764705882354,0.325,15,0,0.05965601480778441,1,-0.8975
7,84.0,0.05526315789473684,0.125,11,4,0.21633455032602714,1,-0.38750000000000007
8,87.0,0.03411764705882353,0.25,10,3,0.06727224081890497,1,-0.425
9,90.0,0.02588235294117647,0.225,9,1,0.1131047874601044,1,-0.4675
10,93.0,0.016842105263157894,0.225,13,4,0.29408629244107476,1,-0.5175000000000001
11,108.0,0.0625,0.25,8,8,0.33641213891201804,1,-0.07500000000000001
12,111.0,0.044500000000000005,0.2,14,3,0.5511003882372043,0,-0.66
13,126.0,0.042,0.2,15,7,0.279757589230035,1,-0.51
14,129.0,0.03681818181818182,0.175,16,1,0.2497246908305261,1,-0.8525
15,144.0,0.093125,0.325,9,7,0.10742352838368512,1,-0.19749999999999995
16,147.0,0.05384615384615385,0.3,20,3,0.5568846572770518,1,-0.94
17,150.0,0.05708333333333333,0.3,16,0,0.5638678366717912,0,-0.9400000000000001
18,165.0,0.07388888888888889,0.3,6,10,0.32420849872327306,1,0.10999999999999999
19,168.0,0.075625,0.25,8,4,0.3622533119585785,1,-0.325
20,183.0,0.04333333333333333,0.15,9,10,0.561546003986387,1,0.0050000000000000044
21,186.0,0.02625,0.1,9,3,0.418280393560306,1,-0.32999999999999996
22,189.0,0.02375,0.2,8,1,0.5209570869471153,1,-0.41000000000000003
23,192.0,0.014285714285714285,0.1,7,3,0.3955946586264525,1,-0.23
24,207.0,0.05764705882352941,0.225,12,9,0.38615184053653634,1,-0.21750000000000008
25,210.0,0.06133333333333334,0.175,9,1,0.4687650796104574,1,-0.4525
26,213.0,0.06615384615384615,0.275,5,0,0.33142972268549015,0,-0.3825
27,228.0,0.058666666666666666,0.175,8,11,0.3202587763759164,1,0.09750000000000003
28,231.0,0.05833333333333333,0.2,4,2,0.178708988410107,1,-0.21000000000000002
29,246.0,0.03333333333333333,0.1,7,10,0.4108084287748989,1,0.11999999999999994
30,249.0,0.019230769230769232,0.125,7,3,0.5633505236509974,1,-0.23750000000000002
31,252.0,0.02,0.125,4,0,0.5549901654289513,1,-0.23750000000000002
32,267.0,0.064375,0.25,11,12,0.43618973590458343,0,-0.07499999999999996
33,270.0,0.06,0.2,10,1,0.41768491862206697,1,-0.56
34,285.0,0.043,0.1,2,6,0.2492310963079627,1,0.17
35,288.0,0.01875,0.15,2,4,0.27481381519725806,0,0.0050000000000000044
36,303.0,0.04857142857142857,0.25,10,8,0.12386103578756694,1,-0.22499999999999998
37,306.0,0.04642857142857143,0.25,8,0,0.13473227145005287,3,-0.47500000000000003
38,321.0,0.049375,0.175,9,8,0.34303991825193275,1,-0.15250000000000002
39,324.0,0.045,0.2,8,2,0.49848561518680456,1,-0.36
40,327.0,0.028333333333333335,0.2,10,0,0.4565117649294705,1,-0.56
41,342.0,0.09,0.25,8,10,0.4223000154701633,0,-0.025000000000000022
42,345.0,0.06444444444444444,0.2,13,3,0.3450926030220326,1,-0.61
43,360.0,0.061,0.15,1,7,0.10293807465053013,1,0.25500000000000006
44,363.0,0.018000000000000002,0.175,12,2,0.6065127010686366,1,-0.5525000000000001
45,366.0,0.020555555555555553,0.15,10,2,0.6628269635533485,1,-0.445
46,369.0,0.008125,0.05,8,2,0.7669935483990594,1,-0.315
47,372.0,0.0035714285714285713,0.05,8,4,0.4297137167395065,0,-0.265
48,387.0,0.066,0.25,15,7,0.3559192893201084,1,-0.5249999999999999
49,390.0,0.068,0.275,20,5,0.59167821469906,3,-0.8825000000000001
50,405.0,0.057272727272727274,0.25,15,1,0.4534882958061747,1,-0.775
51,408.0,0.044000000000000004,0.2,14,1,0.18688850268115786,1,-0.76
52,423.0,0.068,0.3,11,8,0.26975578386566357,1,-0.24
53,426.0,0.0761111111111111,0.25,11,3,0.38082321679072895,1,-0.47500000000000003
54,429.0,0.0875,0.325,8,1,0.3486263582016723,1,-0.4475
55,432.0,0.022857142857142857,0.15,7,3,0.2792752481369318,1,-0.245
56,435.0,0.0016666666666666666,0.05,17,2,0.6366234047311033,0,-0.8150000000000001
57,450.0,0.08727272727272727,0.5,18,9,0.3340392041479829,1,-0.65
58,453.0,0.1,0.45,20,0,0.6287287549191015,1,-1.185
59,468.0,0.0608,0.25,19,5,0.47506735696746294,1,-0.8250000000000001
60,483.0,0.1357142857142857,0.325,10,9,0.3543341137703765,0,-0.1975
61,498.0,0.21875,0.475,23,14,0.2697928894310215,0,-0.5925
62,501.0,0.21666666666666667,0.475,18,0,0.1417049135642148,1,-1.0925
63,516.0,0.044782608695652176,0.225,13,4,0.1928088766148558,0,-0.5175000000000001
64,519.0,0.03238095238095238,0.325,12,2,0.0689456496567455,1,-0.5975000000000001
65,522.0,0.04142857142857143,0.375,12,2,0.0959272162888615,1,-0.6125
66,525.0,0.04086956521739131,0.35,15,3,0.19257344448481584,1,-0.705
67,528.0,0.018571428571428572,0.2,13,2,0.1848260498668135,0,-0.66
68,543.0,0.0824,0.425,17,10,0.4521749015094025,1,-0.5275000000000001
69,546.0,0.09304347826086957,0.4,18,3,0.5456288149508117,0,-0.9199999999999999
70,561.0,0.10296296296296296,0.325,22,7,0.3559323972801575,1,-0.8975000000000001
71,564.0,0.0925925925925926,0.325,21,0,0.33627392906782455,1,-1.1975
72,579.0,0.05451612903225806,0.425,23,8,0.45980069805173535,1,-0.8775000000000002
73,582.0,0.06,0.425,24,3,0.5983019160305741,1,-1.1775000000000002
74,585.0,0.0674074074074074,0.375,21,1,0.5332867743191348,0,-1.1625
75,600.0,0.12409090909090909,0.4,13,10,0.24136009299249653,0,-0.27
76,615.0,0.18100000000000002,0.5,26,9,0.3942095053310679,0,-1.0
77,618.0,0.1875,0.55,25,1,0.38335338030903193,1,-1.415
78,633.0,0.054642857142857146,0.35,19,5,0.25696944113543607,1,-0.805
79,636.0,0.03892857142857143,0.4,21,3,0.22796503310682345,1,-1.02
80,639.0,0.04038461538461538,0.375,19,1,0.23665933207632175,1,-1.0125
81,642.0,0.042083333333333334,0.4,16,2,0.1257357247737254,1,-0.8200000000000001
82,657.0,0.05038461538461538,0.35,16,9,0.46690571269134845,1,-0.455
83,660.0,0.05583333333333333,0.3,16,3,0.24645704847714545,0,-0.79
84,675.0,0.08307692307692309,0.35,18,10,0.4820496799955646,2,-0.555
85,690.0,0.1726923076923077,0.5,20,10,0.4634745205482271,0,-0.7
86,693.0,0.16346153846153846,0.45,25,5,0.5087222981211468,1,-1.185
87,708.0,0.03230769230769231,0.3,17,2,0.24619570351279274,1,-0.8400000000000001
88,711.0,0.04166666666666667,0.3,17,4,0.47067048099290776,1,-0.7400000000000001
89,714.0,0.049090909090909095,0.325,14,1,0.3249822655555395,0,-0.7975000000000001
90,729.0,0.11,0.4,23,11,0.5285546311086915,1,-0.7200000000000001
91,732.0,0.115,0.375,24,3,0.24250940231102333,1,-1.2125000000000001
92,747.0,0.038461538461538464,0.3,16,3,0.2555882242535158,1,-0.74
93,750.0,0.041538461538461545,0.3,19,4,0.5167929887271167,1,-0.8400000000000001
94,753.0,0.0475,0.375,17,1,0.41992835291893693,0,-0.9625
95,768.0,0.1325,0.45,19,11,0.36885356875306374,1,-0.535
96,771.0,0.12153846153846154,0.475,21,2,0.13226168213411257,1,-1.1425
97,786.0,0.03636363636363636,0.25,13,7,0.2069316253639999,1,-0.375
98,789.0,0.038,0.3,12,2,0.3454213040816353,3,-0.6400000000000001
99,804.0,0.0923076923076923,0.4,19,9,0.24769520384537277,1,-0.6200000000000001
100,819.0,0.1759375,0.6,31,10,0.2824137877837689,0,-1.28
101,822.0,0.173125,0.55,32,1,0.2860824531835293,1,-1.7650000000000001
102,837.0,0.044000000000000004,0.325,22,3,0.3161545958426564,1,-1.0475
103,840.0,0.03785714285714285,0.325,21,2,0.15136880763929758,1,-1.0475
104,843.0,0.03933333333333333,0.425,22,1,0.1794839162556131,1,-1.1775
105,846.0,0.03464285714285714,0.375,20,1,0.11670817159452897,1,-1.0625
106,849.0,0.01633333333333333,0.3,22,3,0.1943235170625007,0,-1.09
107,864.0,0.11181818181818182,0.55,13,11,0.2501936663386125,0,-0.315
108,867.0,0.0828125,0.5,26,3,0.5869539310131776,1,-1.35
109,882.0,0.11,0.45,23,8,0.0758538676503617,1,-0.935
110,885.0,0.09733333333333333,0.4,24,0,0.15513218772917337,1,-1.37
111,900.0,0.0674074074074074,0.475,19,8,0.2633839470215996,1,-0.6925
112,903.0,0.06225806451612903,0.5,25,3,0.36150152889559756,0,-1.3
113,918.0,0.08064516129032258,0.425,27,8,0.16912984381703666,1,-1.1275
114,933.0,0.22391304347826085,0.55,12,9,0.2506292677348382,0,-0.3650000000000001
115,936.0,0.23857142857142857,0.525,14,4,0.2501852112346141,1,-0.7075
116,951.0,0.04217391304347826,0.325,13,9,0.09274100408799084,1,-0.2975
117,954.0,0.029130434782608697,0.4,15,2,0.0835480245493651,1,-0.77
118,957.0,0.037200000000000004,0.4,17,1,0.24100362555729485,1,-0.92
119,960.0,0.04652173913043479,0.375,15,3,0.19890604821503913,1,-0.7124999999999999
120,975.0,0.0436,0.35,17,10,0.36535099315227826,1,-0.45500000000000007
121,978.0,0.04869565217391305,0.3,15,2,0.33447210050234055,1,-0.74
122,993.0,0.08039999999999999,0.325,18,10,0.5317808395191248,3,-0.5475000000000001
123,996.0,0.0748,0.275,17,0,0.48955791971322754,1,-0.9825000000000002
124,1011.0,0.040740740740740744,0.35,18,10,0.5859561681354802,1,-0.505
125,1014.0,0.05666666666666667,0.375,20,3,0.5597494394198701,0,-1.0125
126,1029.0,0.07730769230769231,0.35,21,7,0.2898342955392444,0,-0.855
127,1044.0,0.19545454545454546,0.4,15,10,0.45139584371592284,0,-0.42
128,1047.0,0.15384615384615385,0.4,22,3,0.42509916365020717,1,-1.12
129,1062.0,0.03681818181818182,0.3,12,4,0.2215312640729451,1,-0.4900000000000001
130,1065.0,0.030416666666666665,0.325,16,4,0.3764426107369183,0,-0.7475
131,1080.0,0.12526315789473685,0.425,14,10,0.33766307157271663,1,-0.37750000000000006
132,1083.0,0.08137931034482758,0.375,23,1,0.5289580192626216,1,-1.2625000000000002
133,1098.0,0.037142857142857144,0.35,13,8,0.1144355798908587,1,-0.355
134,1101.0,0.04608695652173913,0.3,17,4,0.4537873331037173,1,-0.7400000000000001
135,1104.0,0.05095238095238095,0.3,13,0,0.41523638963069043,1,-0.74
136,1107.0,0.03,0.25,15,2,0.4684246083243623,1,-0.725
137,1122.0,0.04380952380952381,0.25,13,10,0.3867160066101576,1,-0.22500000000000003
138,1125.0,0.05434782608695652,0.3,15,2,0.34868158758379575,0,-0.79
139,1140.0,0.0504,0.225,19,8,0.5057030394810663,1,-0.6675
140,1143.0,0.04565217391304348,0.225,16,1,0.4378532634697024,1,-0.8675
141,1158.0,0.048799999999999996,0.3,14,8,0.6514826156042893,1,-0.39
142,1161.0,0.0632,0.3,17,3,0.5875236094204556,1,-0.79
143,1164.0,0.07136363636363637,0.3,15,2,0.31693145950017804,0,-0.79
144,1179.0,0.0785,0.25,8,9,0.4287426859322168,1,-0.025000000000000022
145,1194.0,0.14666666666666667,0.45,20,12,0.4257529015335279,0,-0.5349999999999999
146,1209.0,0.213,0.55,27,5,0.2764841803255685,0,-1.2650000000000001
147,1224.0,0.365,0.7,24,3,0.2501810858629215,0,-1.2600000000000002
148,1227.0,0.2518421052631579,0.65,34,0,0.4165558854615388,1,-1.9450000000000003
