step,sim_time,avg_wait_time,queue_length,pressure,throughput,avg_speed,action,reward
0,15.0,0.00875,0.1,4,0,0.26107294319251845,3,-0.23
1,18.0,0.02375,0.15,4,0,0.5033801592440494,3,-0.29500000000000004
2,33.0,0.031538461538461536,0.1,8,6,0.4266917684027739,0,-0.18
3,36.0,0.014545454545454545,0.125,7,1,0.5685846622259262,1,-0.3375
4,39.0,0.013999999999999999,0.125,9,0,0.5503268866870461,1,-0.4875
5,54.0,0.08,0.225,9,8,0.4099451683454495,0,-0.16749999999999998
6,57.0,0.06352941176470588,0.2,13,2,0.33334866390445156,1,-0.66
7,72.0,0.061,0.15,1,5,0.10572528999644894,1,0.15500000000000003
8,75.0,0.0155,0.15,14,4,0.6229540584765472,1,-0.545
9,78.0,0.017777777777777778,0.15,10,0,0.6764341905221597,1,-0.545
10,93.0,0.07055555555555555,0.3,14,12,0.2858683446028834,0,-0.24
11,96.0,0.073125,0.25,14,2,0.3369626514082745,1,-0.7250000000000001
12,111.0,0.03944444444444445,0.15,9,4,0.5232793818568773,1,-0.295
13,114.0,0.023125,0.15,10,4,0.4524945875698139,1,-0.345
14,117.0,0.021875,0.2,8,0,0.5130738401624192,0,-0.51
15,132.0,0.065,0.25,15,11,0.35198224363902925,1,-0.27499999999999997
16,147.0,0.12178571428571429,0.4,24,5,0.4716542217386487,0,-1.0700000000000003
17,162.0,0.23807692307692307,0.6,22,4,0.2958259856830415,0,-1.08
18,165.0,0.2114285714285714,0.55,25,1,0.2925182019177567,1,-1.415
19,180.0,0.08041666666666666,0.3,14,4,0.11365693205208377,1,-0.5900000000000001
20,183.0,0.038214285714285715,0.25,21,4,0.34375992935935673,1,-0.925
21,186.0,0.026153846153846153,0.275,19,1,0.32865593229383816,1,-0.9825
22,201.0,0.105,0.55,25,11,0.24636337802485417,0,-0.915
23,204.0,0.10933333333333334,0.575,27,2,0.29976359960781235,1,-1.4725000000000001
24,219.0,0.049375,0.3,23,5,0.3943808544398461,1,-0.9900000000000001
25,222.0,0.042333333333333334,0.275,23,3,0.44778906166173643,1,-1.0825
26,225.0,0.027142857142857146,0.25,20,1,0.3910106008709816,1,-1.025
27,228.0,0.022692307692307692,0.3,19,3,0.11477621692210505,1,-0.89
28,243.0,0.052307692307692305,0.25,17,9,0.2917765687365981,1,-0.4750000000000001
29,246.0,0.04961538461538462,0.275,19,3,0.2505519227899403,1,-0.8825000000000001
30,249.0,0.03916666666666666,0.35,16,1,0.23151775892711504,1,-0.855
31,252.0,0.015,0.25,14,2,0.31402298185273586,1,-0.675
32,255.0,0.014615384615384615,0.25,20,4,0.45921308076426215,0,-0.925
33,270.0,0.08291666666666667,0.45,16,8,0.26885921174941724,0,-0.585
34,273.0,0.08153846153846153,0.45,22,4,0.2627150613075604,1,-1.085
35,288.0,0.0675,0.3,14,6,0.28897902475539394,1,-0.54
36,303.0,0.1622222222222222,0.45,7,11,0.251689643544241,0,0.015000000000000013
37,306.0,0.14,0.4,10,3,0.3141160622086687,1,-0.52
