step,sim_time,avg_wait_time,queue_length,pressure,throughput,avg_speed,action,reward
0,2.0,0.0,0,20,0,12.83870369963502,0,-3.0
1,4.0,0.0,0,20,0,12.85190362879689,0,-3.0
2,6.0,0.0,0,20,0,12.968385499024818,0,-3.0
3,8.0,0.0,0,20,0,12.987122312290724,0,-3.0
4,10.0,0.0,0,20,0,12.184667270213998,0,-3.0
5,12.0,0.0,0,14,0,7.551854338445688,0,-2.1
6,14.0,0.23076923076923078,3,16,0,5.260704784651802,0,-6.3
7,16.0,0.8571428571428571,5,14,0,5.461011292681327,0,-4.6
8,18.0,1.9285714285714286,8,14,0,5.360752846689761,0,-5.5
9,20.0,3.0714285714285716,8,14,0,5.387990764624165,0,-4.5
10,22.0,4.214285714285714,8,16,1,5.300266807642152,1,-4.795
11,24.0,5.357142857142857,8,18,0,3.7249215964640547,1,-5.1
12,26.0,4.136363636363637,8,36,0,5.291959600703605,1,-7.799999999999999
13,28.0,5.0,10,38,1,4.482179053125147,1,-9.694999999999999
14,30.0,5.625,13,40,0,5.0681553883308625,1,-10.9
15,32.0,6.75,14,40,0,5.1467704497338405,1,-11.2
16,34.0,7.916666666666667,14,40,0,4.649885710136622,1,-10.2
17,36.0,9.083333333333334,14,40,0,2.6892773349398964,1,-10.2
18,38.0,8.266666666666667,16,50,0,3.9663720566876646,1,-14.3
19,40.0,9.533333333333333,20,50,0,3.365955114110584,1,-15.5
20,42.0,8.857142857142858,18,48,0,3.1943364758109936,2,-12.599999999999998
21,44.0,10.142857142857142,18,47,0,2.9736394718747,2,-12.45
22,46.0,11.428571428571429,18,46,0,2.4895321276391127,2,-12.299999999999999
23,48.0,13.846153846153847,20,41,0,1.2150760902534503,2,-12.149999999999999
24,50.0,11.911764705882353,24,56,0,3.880162644815231,2,-18.6
25,52.0,13.323529411764707,24,56,0,3.8438585548471242,2,-15.6
26,54.0,14.735294117647058,24,56,0,3.8618323391052236,2,-15.6
27,56.0,17.15625,24,56,0,2.648194530156365,2,-15.6
28,58.0,18.65625,24,55,1,0.9331254022869486,2,-15.444999999999999
29,60.0,19.11764705882353,27,58,0,0.8789037913970899,2,-17.799999999999997
30,62.0,18.763157894736842,32,68,0,1.9666918158461275,3,-20.799999999999997
31,64.0,20.44736842105263,32,68,0,1.9518780345837712,3,-19.799999999999997
32,66.0,22.13157894736842,32,68,0,1.9428619013698352,3,-19.799999999999997
33,68.0,23.81578947368421,32,70,0,1.3181962031623229,3,-20.1
